Gene Symbol	SKOV_KO
ARHGEF26	3
LOC105374167	0
DHX36	775
GPR149	0
DDX50P2	0
NT5C1A	2
LOC100130011	0
DYNLL1P5	0
RPL9P15	0
LOC105374170	0
LOC105374171	0
MME	0
LINC01487	0
LOC100507537	0
PABPC1P10	0
LOC105374172	0
HPCAL4	106
LOC100419750	0
RN7SL715P	0
PLCH1	104
PLCH1-AS2	0
RPL6P7	0
RPL7AP24	0
C3orf33	122
SLC33A1	345
LOC105374174	4
GMPS	1766
LOC100128091	0
SETP14	19
VN2R1P	0
ALG1L15P	0
MRE11P1	0
KCNAB1	60
LOC751837	0
KCNAB1-AS2	0
KCNAB1-AS1	0
SSR3	3626
TIPARP-AS1	1
RNU7-121P	0
TIPARP	1438
LOC107986148	6
METTL15P1	12
LINC00886	43
PA2G4P4	9
LEKR1	48
KLF3P2	0
LOC100422426	0
RN7SKP177	0
LINC00880	6
PPIE	2655
LINC02029	5
LINC00881	0
CCNL1	1348
KRT18P34	2
LOC101928236	46
RNA5SP146	0
LOC100420048	0
LOC105374179	1
VEPH1	69
PTX3	3
BMP8B	176
PQLC2L	11
RN7SKP46	0
SHOX2	156
RSRC1	587
RPL15P6	0
LOC100422604	0
RPS12P7	0
LOC100996447	21
MLF1	508
MTAPP1	0
FNDC10	73
OXCT2	7
GFM1	830
LXN	0
RARRES1	2
LOC100287290	35
RPL35AP9	0
MFSD1	184
GPR79	0
LOC105374181	5
IQCJ-SCHIP1	236
IQCJ	0
LOC105378666	0
SCHIP1	31
RPS2P19	0
LOC100420738	3
IQCJ-SCHIP1-AS1	0
LOC101928351	0
RNU2-31P	0
IL12A-AS1	0
IL12A	69
LINC01100	0
LOC101929536	4
LOC105374314	0
BRD7P2	1
LOC107986149	0
C3orf80	32
IFT80	475
RPL35AP10	0
SMC4	4077
TRIM59	548
LOC105378951	7
B3GAT3P1	0
RNU7-136P	0
KPNA4	2613
SCARNA7	9
KRT8P12	24
RPL6P8	0
ARL14	45
PPM1L	247
B3GALNT1	192
LOC105374186	2
LOC107985740	0
NMD3	3044
LOC105374187	10
EEF1GP4	0
PSMC1P7	0
SPTSSB	50
LOC107986150	0
LINC02067	4
RPL23AP42	707
OTOL1	1
LOC107986048	0
LOC105378665	0
LOC107986049	0
TOMM22P6	0
RPS6P4	0
LINC01192	0
LOC105374188	0
RNU7-82P	0
LOC730129	0
LOC102724419	0
LOC105374189	0
LOC105378667	1
LOC105374190	0
LOC105374191	0
LOC107986151	0
LINC01324	0
LOC107986050	0
SI	0
LOC105374192	0
LOC101928405	0
SLITRK3	0
LINC01322	0
TRIT1	1208
BCHE	0
MTND4P17	0
MTND4LP10	0
MTND3P7	0
MTCO3P38	0
LOC100420620	0
RN7SKP298	0
PSAT1P4	0
CBX1P5	0
LOC105374194	0
MYCL	139
LOC105374193	0
LOC105374195	0
LOC131055	0
LOC105374196	0
ZBBX	17
LINC01327	0
SERPINI2	4
LOC105374197	0
WDR49	1
PDCD10	989
LOC105378668	4
HMGN1P8	0
SERPINI1	74
MEMO1P3	0
LINC01330	0
LOC107986039	0
HMGN2P26	0
LOC107986152	0
GOLIM4	255
EGFEM1P	4
RNU2-20P	0
LOC105378586	8
MFSD2A	116
LOC105374200	0
RPSAP33	0
RPL21P43	0
LINC02082	0
LOC105374201	0
LOC107986051	0
MECOM	464
LOC105374206	0
LOC105374205	0
RPS2P12	5
RPL22P1	0
SDHDP3	0
TERC	42
ACTRT3	15
TRV-AAC1-1	0
MYNN	1659
LRRC34	4
LRRIQ4	0
LRRC31	0
KRT18P43	0
LOC105378669	1
SAMD7	0
LOC100421510	0
LOC100128164	0
SEC62	4265
GPR160	165
